capability_id,capability_name_ko,parent_capability_ko,definition_ko,distinction_point_ko
CAP_OBJECT_DETECTION,객체 감지,인지,이미지 또는 영상 내에서 특정 객체의 존재를 탐지하는 기능,"단순 촬영 기능과 구분되며, 객체 종류를 탐지/분류하는 분석이 필요함"
CAP_PERSON_DETECTION,사람 감지,객체 감지,이미지 또는 영상에서 사람 객체를 탐지하는 기능,"움직임 감지와 다르며, 최소한 '사람'을 대상으로 한 탐지/분류가 필요함"
CAP_FACE_DETECTION,얼굴 감지,객체 감지,이미지 또는 영상에서 얼굴의 존재와 위치를 탐지하는 기능,"얼굴 존재 확인 단계이며, 식별/매칭이 포함되지 않으면 얼굴 인식이 아님"
CAP_FACE_RECOGNITION,얼굴 인식,생체 인식,검출된 얼굴을 등록된 사용자 또는 특정 인물과 매칭하거나 식별하는 기능,"등록, 식별, 사용자, 매칭, 인증 등의 요소가 있어야 하며 얼굴 감지와 구분됨"
CAP_SPEECH_RECOGNITION,음성 인식,오디오 인지,음성 신호를 텍스트 또는 명령으로 변환하는 기능,"단순 마이크 탑재나 음성 출력과 다르며, 음성을 해석하는 단계가 필요함"
CAP_SPEAKER_RECOGNITION,화자 인식,생체 인식,발화자의 음성 특성을 기반으로 화자를 식별하거나 인증하는 기능,무슨 말을 했는지가 아니라 누가 말했는지를 식별하는 기능임
CAP_ANOMALY_DETECTION,이상 탐지,분석,"정상 패턴과 다른 이상 상태, 이상 행동, 비정상 이벤트를 탐지하는 기능","단순 임계치 초과 알림과 다르며, 정상 대비 이상이라는 비교 개념이 필요함"
CAP_BEHAVIOR_ANALYSIS,행동 분석,분석,사람 또는 객체의 행동 패턴을 분석하여 특정 상태나 행위를 판단하는 기능,시간적 패턴 해석이 포함되는 경우가 많고 단순 움직임 감지와 구분됨
CAP_RECOMMENDATION,추천,의사결정 지원,"사용자 이력, 선호, 유사성 또는 상황 정보를 바탕으로 항목을 제안하는 기능","단순 인기순 정렬과 다르며, 사용자/상황/이력 반영 설명이 중요함"
CAP_PATH_PLANNING_AVOIDANCE,경로 계획 및 장애물 회피,자율 제어,이동 또는 주행 중 목적지까지 경로를 계산하거나 장애물을 탐지하여 회피하는 기능,"고정 경로 반복 이동과 다르며, 실시간 센서 기반 판단이 중요함"
CAP_AI_WASH_COURSE,AI 세탁 코스 추천,가전 AI,세탁물 하중·오염도·소재를 감지하여 최적 세탁 코스를 자동 선택·추천하는 기능,"단순 수동 코스 선택과 다르며, 센서 데이터 기반 AI 판단이 필요함"
CAP_LAUNDRY_DETECTION,세탁물 감지,가전 AI,세탁기 내부 세탁물의 하중·소재·오염도 등을 자동으로 감지하는 기능,"단순 무게 측정과 다르며, AI 모델이 복합 조건을 분석하는 단계가 필요함"
CAP_ENERGY_OPTIMIZATION,AI 에너지 최적화,가전 AI,AI 기반으로 가전 기기의 에너지 소비를 분석하고 사용 패턴에 맞게 최적화하는 기능,"단순 절전 모드와 다르며, 사용 패턴 학습 및 동적 조절이 필요함"
CAP_SMART_HOME_CONTROL,스마트홈 AI 제어,가전 AI,ThinQ AI 등 스마트홈 플랫폼을 통해 AI 기반 원격 제어 및 자동화를 제공하는 기능,"단순 Wi-Fi 연결과 다르며, AI 자동화·학습·제안 기능이 포함되어야 함"
CAP_AI_HW_FOUNDATION,AI 하드웨어 인프라,하드웨어 실체,AI 연산 및 데이터 통신을 물리적으로 수행하기 위한 IT 하드웨어 제조 및 탑재 역량,"단순 모터나 일반 가전 부품과 구분되며, 데이터 수집 및 통신을 위한 IT 핵심 부품의 존재를 증명함"
CAP_SMART_HVAC,스마트 공조 및 기류 제어 기술,제어,환경 데이터를 기반으로 온도와 기류를 지능적으로 제어하는 기술,단순 타이머/온도 설정이 아닌 AI/알고리즘 기반 자동 제어 기능이어야 함